source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_pc,distance_ly,x_ly,y_ly,z_ly
490968917182816512,49.36502233294927,64.0510842658726,23.310924351005678,0.0999118,233.31502,115.88891361926409,-138.93686327807671,-11.366621,14.220994,15.209202,12.411485,2.797717,2.4550965,42.898341779263596,139.91551561357497,39.8705762510126,46.46036789835818,125.80986794991058
3395691716488622976,79.03594022290837,19.182271342695547,23.309420867701974,0.01672627,1393.5814,80.33584533194919,-18.731581047804667,160.30368,10.511713,11.1665325,9.729366,1.4371662,1.0836661,42.90110876952851,139.92454031834342,25.135109194106686,129.74338218098265,45.97562451277325
5895588636739471616,211.68298854041763,-55.79039583429336,23.309260234775095,0.016873583,1381.4054,-57.06604227551859,0.11638348078859677,47.210064,11.969819,13.088899,10.912518,2.176381,1.1978354,42.90140441729247,139.92550459126443,-66.94489853471062,-41.31855898380338,-115.71648144840572
2739059700183271424,0.6969893948977539,2.1293284465217877,23.309230253649122,0.029133584,800.08105,70.78455912615702,-90.45066379159863,,8.972274,,,,1.110511,42.90145959854025,139.92568456821493,139.8187207661658,1.7009450561683204,5.198972120759797
6789622019644585984,320.29655426108746,-28.31095915154912,23.309001041913938,0.12516439,186.22711,58.32111731202286,-11.592875256997633,25.15512,14.764766,16.65221,13.45005,3.20216,3.9334872,42.90188147496382,139.927060543483,94.7775348356441,-78.69545447223828,-66.36133368329558
4238356985648920960,295.91201987071986,-0.589888081344554,23.308928889374414,0.02693669,865.3227,-251.86574801827967,17.43106608873301,72.996765,15.103706,16.733381,13.875503,2.8578787,1.13081,42.902014277278056,139.927493686199,61.143743871122915,-125.85337006329655,-1.4405965551521869
1666378698746614528,216.86532645903046,61.17406745316174,23.308696842569898,0.0486595,479.0164,-279.5665040224775,10.909836859476302,,16.908352,17.071672,16.512104,0.5595684,1.0152259,42.90244138289393,139.92888671679154,-53.976627413862566,-40.47574224836425,122.59009470699385
1723783410559566336,235.37154334885926,83.28889423044828,23.308689556622355,0.08395796,277.62335,-55.694552717328904,40.10182038819851,-9.615715,8.275632,8.667152,7.7093043,0.9578481,5.513307,42.90245479355508,139.9289304564675,-9.292376587630326,-13.455764006521553,138.9701397101024
313476679249850624,17.006659518614633,32.01202071379539,23.30865212926362,0.030926397,753.68146,202.43040752760356,-24.45585280842491,11.011109,6.1346335,6.328464,5.7907434,0.5377207,1.0199585,42.90252368323421,139.92915514428935,113.46257267880397,34.70341067371967,74.17604969336722
2004420593787924864,332.4664802573821,52.58737229669264,23.308516203079016,0.08584188,271.5285,-193.60990973531716,-243.6081388477827,-5.4265246,9.331322,9.818602,8.67991,1.1386919,5.8498955,42.902773874035866,139.9299711566004,75.38587613523438,-39.2994747368852,111.14368084877809
3894527738144890496,181.64921420446422,4.008058291920014,23.307881845795375,0.6924634,33.65937,-26.70309180988258,-41.73914522457278,,18.270924,19.062746,16.41145,2.6512966,2.7594032,42.90394153428382,139.9337795505587,-139.53370967420094,-4.017478305705354,9.780919789230175
374163192752986240,13.215108015298245,40.24580318677843,23.307785953573898,0.024702221,943.55023,-91.09462071748277,52.47430394229366,-73.68241,6.6307507,6.9162545,6.1687436,0.7475109,0.96166825,42.904118048444026,139.9343552620831,103.980618445155,24.417362098823393,90.40711918047673
5740161982230708608,143.1444513747242,-10.861341317390195,23.306720237624003,0.0231225,1007.9671,-211.2301477971312,-0.42991775176442404,43.53135,14.429013,16.209518,13.159696,3.0498228,1.1030289,42.906079869002824,139.94075385754485,-109.96774037139267,82.4327820104375,-26.369435296335467
