simbad_ident,display_name,simbad_main_id,gaia_dr3_source_id,hip,name_type,fame_tier
HIP 44248,10 UMa,* 10 UMa,816649002967779584,44248,flamsteed,2
HIP 98110,Almighzal,* eta Cyg,2059372363884259072,98110,iau,2
HIP 50954,I Car,* I Car,5205029672996886016,50954,bayer,2
HIP 104139,Udang,* tet Cap,6882183890633433600,104139,iau,2
HIP 114996,γ Tuc,* gam Tuc,6492406743706907776,114996,bayer,2
HIP 11001,δ Hyi,* del Hyi,4693818888483537664,11001,bayer,2
HIP 37447,α Mon,* alf Mon,3041619014955371392,37447,bayer,2
HIP 7083,δ Phe,* del Phe,4929469381645492864,7083,bayer,2
HIP 59199,Alchiba,* alf Crv,3489338019475637760,59199,iau,2
HIP 42911,Asellus Australis,* del Cnc,660136821288588416,42911,iau,2
HIP 74824,β Cir,* bet Cir,5877059048308526720,74824,bayer,2
HIP 37504,ζ Vol,* zet Vol,5263150888430619904,37504,bayer,2
HIP 78527,θ Dra,* tet Dra,1623289903206300928,78527,bayer,2
HIP 31592,ν² CMa,* nu.02 CMa,2939555954755196160,31592,bayer,2
HIP 118268,Pili,* ome Psc,2745491430891511168,118268,iau,2
HIP 94114,Meridiana,* alf CrA,6718857073327910144,94114,iau,2
HIP 55705,γ Crt,* gam Crt,3546521385854108928,55705,bayer,2
HIP 19587,Beid,* omi01 Eri,3196359642878570368,19587,iau,2
HIP 14146,τ³ Eri,* tau03 Eri,5077970830842019584,14146,bayer,2
HIP 106481,ρ Cyg,* rho Cyg,1971163631220899968,106481,bayer,2
HIP 40702,α Cha,* alf Cha,5210240327318434304,40702,bayer,2
HIP 70497,θ Boo,* tet Boo,1604859511344724864,70497,bayer,2
iot Per,Iota Persei,* iot Per,436648129327098496,14632,bayer,2
HIP 80000,γ² Nor,* gam02 Nor,5935306123457567616,80000,bayer,2
HIP 93429,i Aql,* i Aql,,93429,bayer,2
HIP 69701,Syrma,* iot Vir,3640828731549972480,69701,iau,2
HIP 112405,β Oct,* bet Oct,,112405,bayer,2
HIP 69732,Xuange,* lam Boo,1505311446553172992,69732,iau,2
HIP 12777,θ Per,* tet Per,438829629114680704,12777,bayer,2
HIP 7513,Titawin,* ups And,348020482735930112,7513,iau,2
HIP 59072,η Cru,* eta Cru,6053245135154609280,59072,bayer,2
HIP 102485,ψ Cap,* psi Cap,6805455124526007424,102485,bayer,2
HIP 85340,b Oph,* b Oph,4111251723554095104,85340,bayer,2
HIP 107354,κ Peg,* kap Peg,,107354,bayer,2
HIP 26366,φ² Ori,* phi02 Ori,3334901543952614528,26366,bayer,2
HIP 116771,Puwuh Atarung,* iot Psc,2756363608023588864,116771,iau,2
HIP 36366,ρ Gem,* rho Gem,892160231749198848,36366,bayer,2
HIP 109857,ε Cep,* eps Cep,2198483880690116480,109857,bayer,2
HIP 90568,ζ Tel,* zet Tel,6704767209778958976,90568,bayer,2
HIP 101093,θ Cep,* tet Cep,2243479676058593152,101093,bayer,2
HIP 113638,ζ Gru,* zet Gru,,113638,bayer,2
HIP 92043,110 Her,* 110 Her,4530744134231683840,92043,flamsteed,2
HIP 111188,Tiangang,* bet PsA,6601750220152445440,111188,iau,2
HIP 112447,Tugongli,* ksi Peg,2719475542667772416,112447,iau,2
HIP 13254,16 Per,* 16 Per,143293685388561664,13254,flamsteed,2
HIP 93825,γ CrA,* gam CrA,,93825,bayer,2
HIP 62896,n Cen,* n Cen,6140482586674352128,62896,bayer,2
HIP 17651,τ⁶ Eri,* tau06 Eri,5087043657197267200,17651,bayer,2
HIP 67153,i Cen,* i Cen,6171375049483037696,67153,bayer,2
HIP 20648,δ³ Tau,* del03 Tau,,20648,bayer,2
HIP 105858,γ Pav,* gam Pav,6401464693867773568,105858,bayer,2
HIP 2484,β¹ Tuc,* bet01 Tuc,4900927434176620160,2484,bayer,2
HIP 19893,γ Dor,* gam Dor,4781833626056162688,19893,bayer,2
HIP 12828,μ Cet,* mu. Cet,21859669845327488,12828,bayer,2
HIP 1599,ζ Tuc,* zet Tuc,4900108950849461248,1599,bayer,2
HIP 95294,Arkab Posterior,* bet02 Sgr,6664407333374099968,95294,iau,2
Gaia DR3 2218144110660778368,Kurhah,* ksi Cep A,2218144110660778368,108917,iau,2
HIP 64394,β Com,* bet Com,1460229442589223424,64394,bayer,2
bet CVn,Chara (Beta Canum Venaticorum),* bet CVn,1534011998572555776,61317,iau,2
HIP 85423,d Oph,* d Oph,4058689054864359552,85423,bayer,2
HIP 75411,Alkalurops,* mu.01 Boo,1387349379494809600,75411,iau,2
HIP 61174,η Crv,* eta Crv,3526420114274019456,61174,bayer,2
HIP 5542,θ Cas,* tet Cas,411601907281189504,5542,bayer,2
HIP 114131,θ Gru,* tet Gru,6541802406664428672,114131,bayer,2
HIP 92161,111 Her,* 111 Her,4512265810537057664,92161,flamsteed,2
HIP 27100,δ Dor,* del Dor,4660016396371388672,27100,bayer,2
e Eri,82 Eridani,* e Eri,4847957293278177024,15510,flamsteed,2
HIP 47175,M Vel,* M Vel,5409223585178017152,47175,bayer,2
HIP 37629,σ Gem,* sig Gem,878467085735262720,37629,bayer,2
HIP 88866,π Pav,* pi. Pav,6630558558672843392,88866,bayer,2
HIP 114855,ψ¹ Aqr,* psi01 Aqr,2630155547353593216,114855,bayer,2
HIP 16852,10 Tau,* 10 Tau,3263836568394170880,16852,flamsteed,2
HIP 64241,Diadem,* alf Com,,64241,iau,2
HIP 53954,b Leo,* b Leo,3985219996984723712,53954,bayer,2
HIP 102532,γ² Del,* gam02 Del,1763000413344449792,102532,bayer,2
HIP 115830,θ Psc,* tet Psc,,115830,bayer,2
HIP 105319,θ Ind,* tet Ind,6463748969563201152,105319,bayer,2
HIP 30419,ε Mon A,* eps Mon A,3131481481815810432,30419,bayer,2
HIP 84893,ξ Oph,* ksi Oph,4115142207982341504,84893,bayer,2
HIP 116971,ω² Aqr,* ome02 Aqr,,116971,bayer,2
Gaia DR3 517650349234855424,Huagai,* iot Cas A,517650349234855424,11569,iau,2
HIP 71284,Genghe,* sig Boo,1284257623084916480,71284,iau,2
omi02 Eri,Keid (40 Eridani A),* omi02 Eri,3195919528989223040,19849,iau,2
HIP 92946,Alya,* tet01 Ser,4281199284413726208,92946,iau,2
HIP 104858,Tepennekhet,* del Equ,,104858,iau,2
HIP 67275,Tepiamenit,* tau Boo,1244571953471006720,67275,iau,2
HIP 114570,Honores,* 7 And,1990723839987250176,114570,iau,2
HIP 86614,Dziban,* psi01 Dra A,1651268660203160448,86614,iau,2
HR 3208,Tegmine,* zet01 Cnc A,657244586015485440,40167A,iau,2
HIP 96100,Alsafi,* sig Dra,2261614264931057664,96100,iau,2
36 Oph B,36 Ophiuchi B,* 36 Oph B,4109030160308317312,,flamsteed,2
eps Ind,Epsilon Indi A,* eps Ind,6412595290592307840,108870,bayer,2
36 Oph A,Guniibuu (36 Ophiuchi A),* 36 Oph A,4109030160308320128,,iau,2
HIP 98066,Terebellum,* ome Sgr,,98066,iau,2
HIP 15197,Zibal,* zet Eri,5166714578981717632,15197,iau,2
HIP 73695,Quadrans,* i Boo,,73695,iau,2
HIP 70755,Elgafar,* phi Vir,3649422995468596480,70755,iau,2
HIP 10644,Deltoton,* del Tri,326173044957518080,10644,iau,2
Gaia DR3 1420101696287738368,Alrakis,* mu. Dra A,1420101696287738368,83608A,iau,2
HIP 22565,Lembu,* i Tau,3406917219108423808,22565,iau,2
HIP 5737,Revati,* zet Psc A,2577061092921353984,5737,iau,2
HIP 53721,Chalawan,* 47 UMa,777254360337133312,53721,iau,2
HIP 29271,Hoerikwaggo,* alf Men,5264749303462961280,29271,iau,2
HIP 102531,Dhanishta,* gam01 Del,1763000482062205056,102531,iau,2
mu. Ara,Cervantes (Mu Arae),* mu. Ara,5945941905576552064,86796,iau,2
HIP 63076,Taiyi,* 8 Dra,1677302170674242560,63076,iau,2
107 Psc,107 Piscium (Gliese 75),* 107 Psc,96331172942614528,7981,flamsteed,2
HD 10360,p Eridani A,* p Eri A,4911306239828325632,,bayer,2
70 Oph B,70 Ophiuchi B,* 70 Oph B,4468557611977674496,,flamsteed,2
51 Peg,Helvetios (51 Pegasi),* 51 Peg,2835207319109249920,113357,iau,2
HD 10361,p Eridani B,* p Eri B,4911306239828325760,,bayer,2
HIP 7535,Idigna,* pi. Psc,2585868490297270144,7535,iau,2
HIP 9353,Zibbatu,* 112 Psc,2511794495013074048,9353,iau,2
HIP 43587,Copernicus,* rho01 Cnc,704967037090946688,43587,iau,2
61 Cyg B,61 Cygni B,* 61 Cyg B,1872046574983497216,104217,flamsteed,2
HIP 5743,Paushna,* zet Psc B,2577061260424130304,5743,iau,2
HIP 94645,Gumala,HD 179949,6770313530317154560,94645,iau,2
HIP 33719,Citalá,HD 52265,3101382419728401408,33719,iau,2
TW PsA,TW Piscis Austrini (Fomalhaut B),V* TW PsA,6604147121141267712,113283,catalog,2
AX Mic,Lacaille 8760 (AX Microscopii),V* AX Mic,6583272171336048640,105090,catalog,2
eta Cas B,Achird B (Eta Cassiopeiae B),* eta Cas B,425040000962497792,,bayer,2
HIP 26380,Bubup,HD 38283,4650314511916109696,26380,iau,2
HIP 60644,Tupã,HD 108147,6053512007260865280,60644,iau,2
HIP 17096,Tupi,HD 23079,4733035238430992768,17096,iau,2
HIP 6643,Bélénos,HD 8574,297045096447719040,6643,iau,2
HIP 66047,Dofida,HD 117618,6083860761505899904,66047,iau,2
Lacaille 9352,Lacaille 9352,HD 217987,6553614253923452800,114046,catalog,2
Lalande 21185,Lalande 21185,HD 95735,762815470562110464,54035,catalog,2
HIP 108375,Itonda,HD 208487,6586580842340695040,108375,iau,2
HIP 57291,Uklun,HD 102117,5341673851394297600,57291,iau,2
HIP 5054,Nenque,HD 6434,4988158666636598272,5054,iau,2
HIP 3479,Cocibolca,HD 4208,2343647384368388608,3479,iau,2
HIP 99711,Phoenicia,HD 192263,4224259562941398400,99711,iau,2
HIP 90004,Alasia,HD 168746,4153637759337630720,90004,iau,2
HIP 72339,Mönch,HD 130322,3650718804281798912,72339,iau,2
HIP 5529,Emiw,HD 7199,4704957491028733824,5529,iau,2
HIP 57370,Flegetonte,HD 102195,3799626935341796096,57370,iau,2
HIP 32916,Nervia,HD 49674,951427000863064192,32916,iau,2
HIP 38041,Tapecue,HD 63765,5488567574038257280,38041,iau,2
HIP 30905,Lusitânia,HD 45652,3327980255695313792,30905,iau,2
HIP 36948,Moth,HD 61005,5592237639209047424,36948,iau,2
HIP 47202,Kalausi,HD 83443,5424836719001215360,47202,iau,2
HIP 52521,Macondo,HD 93083,5450573881018549760,52521,iau,2
GJ 1,Gliese 1 (HD 225213),HD 225213,2306965202564744064,439,catalog,2
HIP 48235,Natasha,HD 85390,5406324138654973824,48235,iau,2
HIP 114322,Ebla,HD 218566,2638410646295370880,114322,iau,2
HIP 76351,Karaka,HD 137388,5778418870846853888,76351,iau,2
Kapteyn's star,Kapteyn's Star,HD 33793,4810594479418041856,24186,catalog,2
GJ 687,Gliese 687,BD+68 946,1637645127018395776,86162,catalog,2
GJ 667 C,Gliese 667 C,HD 156384C,5975663354131618304,,catalog,2
GJ 674,Gliese 674,CD-46 11540,5951824121022278144,85523,catalog,2
HIP 37284,Ceibo,HD 63454,5209903017765189760,37284,iau,2
omi02 Eri B,40 Eridani B (white dwarf),* omi02 Eri B,3195919254111315712,,flamsteed,2
HIP 2247,Felixvarela,BD-17 63,2367734656180397952,2247,iau,2
HIP 88414,Pincoya,HD 164604,4062446910648807168,88414,iau,2
HIP 47780,Añañuca,CD-45 5378,5412250540681250560,47780,iau,2
GJ 876,Gliese 876,BD-15 6290,2603090003484152064,113020,catalog,2
HIP 12961,Koeia,CD-23 1056,5077642283022422656,12961,iau,2
Ross 248,Ross 248,Ross 248,1926461164913660160,,catalog,2
Ross 154,Ross 154,CD-23 14742,4075141768785646848,92403,catalog,2
GJ 581,Gliese 581,BD-07 4003,6322070093095493504,74995,catalog,2
HIP 57087,Noquisi,Ross 905,4017860992519744384,57087,iau,2
UV Cet,UV Ceti (Luyten 726-8 B),G 272-61B,5140693571158946048,,catalog,2
Ross 128,Ross 128,Ross 128,3796072592206250624,57548,catalog,2
HIP 115211,Danfeng,CD-60 8051,6491962300492857472,115211,iau,2
GJ 3470,Kaewkosin,LP 424-4,654687847820642560,,iau,2
HIP 62452,Gar,Wolf 437,3735000631158990976,62452,iau,2
HIP 79431,Sharjah,LP 804-27,6245870673116518784,79431,iau,2
Wolf 28,Van Maanen's Star,Wolf 28,2552928187080872832,3829,catalog,2
GJ 1214,Orkaria,G 139-21,4393265392168829056,,iau,2
LHS 3844,Batsũ̀,L 119-213,6385548541499112448,,iau,2
WD 0806-661,Maru,L 97-3,5274517467840296832,,iau,2
