hip,star_name,name_type,rough_star_type,fame_tier,source,ra_j2016,dec_j2016,plx,e_plx,hp_mag,b_v,bp_rp_est,absolute_hp_mag,distance_ly,x_ly,y_ly,z_ly,drawn_by_alpha_cen_group
104858,Tepennekhet,iau,Yellow Dwarf,2,Hipparcos,318.6202551,10.0056275,54.09,0.66,4.5928,0.529,0.698,3.258,60.2988,44.5568,-39.2541,10.4766,False
46651,ψ Vel,bayer,F-type Star,2,Hipparcos,142.6741337,-40.4664667,53.15,0.37,3.6577,0.371,0.527,2.285,61.3653,-37.1246,28.3078,-39.8262,False
8796,Mothallah,iau,Yellow Dwarf,1,Hipparcos,28.2705015,29.5777867,51.5,0.23,3.521,0.488,0.655,2.08,63.3313,48.5087,26.087,31.2606,False
82396,Larawag,iau,Giant / Subgiant,1,Hipparcos,252.5375708,-34.2943693,51.19,0.22,2.4532,1.144,1.399,0.999,63.7149,-15.7957,-50.2124,-35.8998,False
9884,Hamal,iau,Giant / Subgiant,1,Hipparcos,31.7942706,23.4617594,49.56,0.25,2.1726,1.151,1.408,0.648,65.8104,51.3109,31.807,26.2016,False
110778,,,Yellow Dwarf,,Hipparcos,336.6437231,-16.7420467,49.5,1.23,5.6854,0.618,0.787,4.158,65.8902,57.9268,-25.0147,-18.9805,False
104887,Enduri Senggu,iau,F-type Star,1,Hipparcos,318.6989972,38.0471413,49.16,0.4,3.8228,0.393,0.553,2.281,66.3459,39.2512,-34.4842,40.8896,False
21421,Aldebaran,iau,Giant / Subgiant,0,Hipparcos,68.9804569,16.5084626,48.94,0.77,1.0024,1.538,2.204,-0.549,66.6441,22.919,59.6451,18.9374,False
107089,ν Oct,bayer,Giant / Subgiant,2,Hipparcos,325.3707259,-77.3911061,47.17,1.93,3.8981,1.008,1.227,2.266,69.1449,12.42,-8.5774,-67.4773,False
2762,,,Yellow Dwarf,,Hipparcos,8.8138171,-3.5930001,47.05,0.67,5.3209,0.567,0.736,3.684,69.3212,68.368,10.6008,-4.3443,False
12390,,,Yellow Dwarf,,Hipparcos,39.8916862,-11.8731671,46.55,2.53,4.9262,0.447,0.611,3.266,70.0658,52.6084,43.9745,-14.4158,False
9236,α Hyi,bayer,F-type Star,2,Hipparcos,29.6949392,-61.5697407,45.43,0.44,2.9305,0.29,0.429,1.217,71.7932,29.6912,16.9321,-63.1347,False
98416,,,Yellow Dwarf,,Hipparcos,299.946117,-9.9600264,45.04,0.99,5.9969,0.598,0.768,4.265,72.4148,35.6036,-61.8014,-12.5249,False
102488,Aljanah,iau,Giant / Subgiant,1,Hipparcos,311.5547492,33.9717263,44.86,0.12,2.6429,1.021,1.244,0.902,72.7054,39.9962,-45.1205,40.6266,False
72622,Zubenelgenubi,iau,A-type Star,1,Hipparcos,222.7191492,-16.0420805,43.03,0.19,2.7892,0.147,0.23,0.958,75.7974,-53.5189,-49.419,-20.9461,False
55642,ι Leo,bayer,F-type Star,2,Hipparcos,170.9816925,10.5291537,42.24,0.83,4.0331,0.423,0.586,2.162,77.2151,-74.9765,11.8997,14.11,False
62512,,,Yellow Dwarf,,Hipparcos,192.1654245,60.3197346,41.59,2.69,5.9399,0.467,0.633,4.035,78.4218,-37.9593,-8.1831,68.133,False
49669,Regulus,iau,Hot Blue Star,0,Hipparcos,152.0918324,11.9672336,41.13,0.35,1.3232,-0.087,-0.143,-0.606,79.2989,-68.5533,36.3096,16.4428,False
12706,Kaffaljidhma,iau,A-type Star,1,Hipparcos,40.8245125,3.235167,40.97,0.63,3.5001,0.093,0.164,1.562,79.6086,60.145,51.9607,4.4927,False
42913,Alsephina,iau,A-type Star,1,Hipparcos,131.1761671,-54.7092786,40.49,0.39,1.9511,0.043,0.106,-0.012,80.5523,-30.6389,35.028,-65.7493,False
28360,Menkalinan,iau,A-type Star,1,Hipparcos,89.8818244,44.9474283,40.21,0.23,1.9038,0.077,0.145,-0.075,81.1132,0.1184,57.4082,57.3031,False
51933,,,Yellow Dwarf,,Hipparcos,159.1361498,-12.2331108,39.88,0.37,5.8223,0.528,0.697,3.826,81.7844,-74.6865,28.466,-17.3293,False
62956,Alioth,iau,A-type Star,0,Hipparcos,193.5081785,55.9597863,39.51,0.2,1.7545,-0.022,0.006,-0.262,82.5503,-44.9313,-10.7938,68.4049,False
58001,Phecda (Gamma Ursae Majoris),iau,A-type Star,0,Hipparcos,178.4585054,53.6948087,39.21,0.4,2.4286,0.044,0.107,0.396,83.1819,-49.2331,1.3249,67.0342,False
33202,,,F-type Star,,Hipparcos,103.6612908,13.1775147,39.02,1.56,4.7265,0.321,0.468,2.683,83.587,-19.2219,79.0835,19.0552,False
98066,Terebellum,iau,Giant / Subgiant,2,Hipparcos,298.9608765,-26.2992564,38.48,2.66,4.8317,0.748,0.915,2.758,84.76,36.7937,-66.4846,-37.5537,False
93506,Ascella,iau,A-type Star,1,Hipparcos,285.653098,-29.8799695,36.98,0.87,2.6212,0.062,0.128,0.461,88.198,20.6336,-73.6378,-43.9389,False
84012,Sabik,iau,A-type Star,1,Hipparcos,257.594714,-15.7244659,36.91,0.8,2.4393,0.059,0.124,0.275,88.3653,-18.2727,-83.0724,-23.948,False
61084,Gacrux,iau,Giant / Subgiant,0,Hipparcos,187.7917294,-57.1143916,36.83,0.18,1.6299,1.6,2.271,-0.539,88.5573,-47.6394,-6.5188,-74.3665,False
36399,,,Yellow Dwarf,,Hipparcos,112.3570657,-7.5506134,36.71,2.4,5.9698,0.487,0.654,3.794,88.8467,-33.5023,81.4558,-11.6746,False
14576,Algol,iau,A-type Star,0,Hipparcos,47.0422361,40.9556393,36.27,1.4,2.0969,-0.003,0.05,-0.105,89.9246,46.2796,49.7022,58.9433,False
110960,ζ Aqr,bayer,F-type Star,2,Hipparcos,337.2087582,-0.019719,35.5,1.26,3.745,0.406,0.568,1.496,91.875,84.7016,-35.5901,-0.0316,False
63738,,,Yellow Dwarf,,Hipparcos,195.9428286,-20.5834734,35.45,0.92,5.6918,0.554,0.723,3.44,92.0046,-82.8182,-23.6583,-32.3462,False
109427,Biham,iau,A-type Star,1,Hipparcos,332.5512002,6.1979986,35.34,0.85,3.5534,0.086,0.156,1.295,92.291,81.4224,-42.2934,9.9642,False
10306,,,Yellow Dwarf,,Hipparcos,33.2011385,21.2110187,34.64,0.33,5.3294,0.457,0.622,3.027,94.156,73.448,48.0651,34.066,False
3419,Diphda,iau,Giant / Subgiant,1,Hipparcos,10.8984654,-17.9864641,33.86,0.16,2.2061,1.019,1.241,-0.145,96.325,89.9651,17.322,-29.7444,False
32607,α Pic,bayer,F-type Star,2,Hipparcos,102.0471054,-61.9403093,33.78,1.78,3.3114,0.225,0.333,0.955,96.5531,-9.4794,44.4175,-85.2041,False
677,Alpheratz,iau,Hot Blue Star,1,Hipparcos,2.0976153,29.0897047,33.62,0.35,2.0371,-0.038,-0.03,-0.33,97.0126,84.7186,3.103,47.1654,False
101769,Rotanev,iau,F-type Star,1,Hipparcos,309.3877978,14.5948751,32.33,0.47,3.723,0.425,0.588,1.271,100.8835,61.9515,-75.4538,25.4209,False
109268,Alnair,iau,Hot Blue Star,1,Hipparcos,332.0590947,-46.9616298,32.29,0.21,1.6983,-0.07,-0.104,-0.756,101.0085,60.9012,-32.3012,-73.8268,False
67301,Alkaid,iau,Hot Blue Star,0,Hipparcos,206.8843313,49.3132005,31.38,0.24,1.7994,-0.099,-0.17,-0.717,103.9377,-60.4361,-30.6402,78.8143,False
82369,,,Yellow Dwarf,,Hipparcos,252.4587274,-10.783344,31.27,2.16,4.7415,0.478,0.645,2.217,104.3033,-30.8811,-97.697,-19.5147,False
9727,,,F-type Star,,Hipparcos,31.2837589,77.2811277,30.16,0.45,5.3539,0.345,0.497,2.751,108.142,20.3476,12.3637,105.4885,False
46454,,,Yellow Dwarf,,Hipparcos,142.1143273,9.0568106,30.15,1.45,5.5324,0.605,0.775,2.929,108.1779,-84.3136,65.6025,17.0287,False
113638,ζ Gru,bayer,Giant / Subgiant,2,Hipparcos,345.2195837,-52.7541848,29.96,0.83,4.2774,0.96,1.166,1.66,108.8639,63.7082,-16.8091,-86.6607,False
31681,Alhena,iau,A-type Star,1,Hipparcos,99.4280244,16.3990362,29.84,2.23,1.929,0.001,0.058,-0.697,109.3017,-17.1762,103.4388,30.8586,False
111974,,,Giant / Subgiant,,Hipparcos,340.2207523,14.5497085,29.59,0.68,5.8645,0.723,0.888,3.22,110.2252,100.3959,-36.1037,27.6908,False
107354,κ Peg,bayer,F-type Star,2,Hipparcos,326.1616341,25.6451013,29.22,0.74,4.2347,0.425,0.588,1.563,111.6209,83.5806,-56.0334,48.309,False
49841,λ Hya,bayer,Giant / Subgiant,2,Hipparcos,152.6460704,-12.3545244,28.98,0.83,3.7748,1.007,1.226,1.085,112.5453,-97.6462,50.5154,-24.0802,False
45238,Miaplacidus,iau,A-type Star,1,Hipparcos,138.2978999,-69.7167234,28.82,0.11,1.6625,0.07,0.137,-1.039,113.1702,-29.291,26.0992,-106.1525,False
13702,,,Yellow Dwarf,,Hipparcos,44.1102969,18.0221459,28.29,0.43,5.6882,0.471,0.637,2.946,115.2903,78.7172,76.3097,35.6691,False
66438,,,Yellow Dwarf,,Hipparcos,204.3029699,-61.6923969,27.99,0.58,5.7357,0.493,0.661,2.971,116.526,-50.3604,-22.7418,-102.5912,False
54061,Dubhe (Alpha Ursae Majoris),iau,Giant / Subgiant,0,Hipparcos,165.9307053,61.7508805,26.54,0.48,1.9519,1.061,1.294,-0.929,122.8924,-56.4209,14.1398,108.2557,False
4288,,,Giant / Subgiant,,Hipparcos,13.7427657,23.6281117,26.33,0.65,5.6173,1.011,1.231,2.72,123.8725,110.2389,26.9605,49.6479,False
110785,,,Yellow Dwarf,,Hipparcos,336.6570358,4.3940081,26.21,0.93,5.868,0.519,0.687,2.96,124.4397,113.9184,-49.1623,9.5339,False
28358,Bagu,iau,Giant / Subgiant,1,Hipparcos,89.8824229,54.2840674,25.88,1.61,3.8904,1.01,1.23,0.955,126.0264,0.151,73.5699,102.3235,False
10064,Alaybasan,iau,A-type Star,1,Hipparcos,32.3867555,34.9871233,25.71,0.34,3.0625,0.14,0.221,0.113,126.8597,87.767,55.6702,72.7404,False
78662,,,F-type Star,,Hipparcos,240.8827057,-57.7754382,25.39,1.25,4.6904,0.252,0.373,1.714,128.4586,-33.3316,-59.8426,-108.6714,False
7916,,,Yellow Dwarf,,Hipparcos,25.437065,-11.3265074,25.35,0.68,5.8455,0.443,0.607,2.865,128.6613,113.9257,54.1862,-25.2691,False
43109,Ashlesha,iau,Giant / Subgiant,1,Hipparcos,131.6927808,6.4186068,25.23,0.98,3.5004,0.685,0.849,0.51,129.2732,-85.4453,95.9261,14.4517,False
50583,Algieba,iau,Giant / Subgiant,1,Hipparcos,154.9945651,19.8407995,25.07,0.52,2.1684,1.128,1.379,-0.836,130.0983,-110.905,51.7287,44.1564,False
61932,γ Cen,bayer,A-type Star,2,Hipparcos,190.3780765,-48.9598458,25.06,0.28,2.146,-0.023,0.004,-0.859,130.1502,-84.057,-15.3941,-98.1657,False
72607,Kochab,iau,Giant / Subgiant,1,Hipparcos,222.6758267,74.1555547,24.91,0.12,2.2044,1.465,2.057,-0.814,130.9339,-26.2823,-24.2321,125.9593,False
51384,,,F-type Star,,Hipparcos,157.4170343,84.251823,24.61,0.39,5.5863,0.244,0.361,2.542,132.53,-12.256,5.0974,131.8636,False
113963,Markab,iau,A-type Star,1,Hipparcos,346.1905009,15.2050836,24.46,0.19,2.4784,-0.002,0.052,-0.579,133.3428,124.9555,-30.714,34.9724,False
25428,Elnath,iau,Hot Blue Star,1,Hipparcos,81.5730866,28.6066803,24.36,0.34,1.6151,-0.13,-0.172,-1.452,133.8901,17.2261,116.2767,64.1058,False
50372,Tania Borealis,iau,A-type Star,1,Hipparcos,154.272999,42.914151,23.72,0.78,3.4586,0.029,0.09,0.334,137.5027,-90.721,43.7137,93.6258,False
7588,Achernar,iau,Hot Blue Star,0,Hipparcos,24.4292373,-57.2369228,23.39,0.57,0.4233,-0.158,-0.172,-2.732,139.4427,68.7058,31.2086,-117.2595,False
2383,,,F-type Star,,Hipparcos,7.6099099,-48.2153011,23.21,0.43,5.7538,0.367,0.522,2.582,140.5241,92.8112,12.4,-104.7823,False
70104,,,F-type Star,,Hipparcos,215.1776596,-45.1873821,22.96,0.35,4.8528,0.31,0.455,1.658,142.0542,-81.8338,-57.6796,-100.7754,False
32104,,,A-type Star,,Hipparcos,100.6014001,17.6449341,22.92,0.67,5.2513,0.063,0.129,2.052,142.3021,-24.9484,133.2925,43.1342,False
55765,,,F-type Star,,Hipparcos,171.4008945,16.4565184,22.77,0.33,5.6728,0.39,0.549,2.46,143.2395,-135.8275,20.5398,40.578,False
90185,Kaus Australis,iau,Hot Blue Star,1,Hipparcos,276.0427811,-34.3851685,22.76,0.24,1.7986,-0.031,-0.014,-1.416,143.3025,12.4495,-117.6046,-80.9305,False
59309,,,F-type Star,,Hipparcos,182.5135237,5.8070916,22.7,0.37,5.8042,0.352,0.505,2.584,143.6812,-142.8064,-6.2688,14.5376,False
93429,i Aql,bayer,Giant / Subgiant,2,Hipparcos,285.4200038,-5.7392911,22.66,0.23,4.1784,1.079,1.317,0.955,143.9349,38.0794,-138.058,-14.3938,False
76952,Baltesha,iau,A-type Star,1,Hipparcos,235.6851361,26.2958547,22.33,0.5,3.8233,0.02,0.08,0.568,146.062,-73.8203,-108.1562,64.7064,False
94648,,,Giant / Subgiant,,Hipparcos,288.8859557,73.3559246,22.28,0.5,4.617,1.257,1.561,1.357,146.3898,13.5721,-39.6725,140.2564,False
25397,,,Yellow Dwarf,,Hipparcos,81.4993017,-19.6955032,22.21,0.66,5.934,0.441,0.605,2.667,146.8511,20.4378,136.741,-49.492,False
21673,,,A-type Star,,Hipparcos,69.7886206,15.7995734,22.18,0.93,5.1269,0.141,0.223,1.857,147.0498,48.8841,132.7816,40.0377,False
21036,,,F-type Star,,Hipparcos,67.6561694,13.72432,22.12,0.35,5.4724,0.263,0.389,2.196,147.4486,54.4542,132.4843,34.9823,False
97433,Tyl (ε Dra),bayer,Giant / Subgiant,2,Hipparcos,297.0441724,70.268104,22.04,0.37,3.9974,0.888,1.076,0.713,147.9838,22.7167,-44.4991,139.2946,False
110882,,,Giant / Subgiant,,Hipparcos,336.9650228,4.6943063,21.99,0.37,4.9476,1.039,1.266,1.659,148.3203,136.0363,-57.842,12.1385,False
116971,ω² Aqr,bayer,Hot Blue Star,2,Hipparcos,355.6810589,-14.5451982,21.96,0.26,4.4801,-0.032,-0.017,1.188,148.5229,143.3545,-10.8265,-37.3006,False
115830,θ Psc,bayer,Giant / Subgiant,2,Hipparcos,351.991511,6.3788001,21.96,0.25,4.4401,1.062,1.295,1.148,148.5229,146.1639,-20.5641,16.5011,False
20648,δ³ Tau,bayer,A-type Star,2,Hipparcos,66.3729335,17.9277515,21.96,0.51,4.3212,0.049,0.113,1.029,148.5229,56.6351,129.4658,45.718,False
2578,,,A-type Star,,Hipparcos,8.1837898,-63.0317248,21.95,0.19,5.092,0.038,0.1,1.799,148.5906,66.6992,9.5922,-132.4325,False
66257,,,F-type Star,,Hipparcos,203.6996732,37.1823746,21.9,0.23,5.0194,0.404,0.565,1.722,148.9299,-108.648,-47.6924,90.0064,False
43970,,,A-type Star,,Hipparcos,134.312576,15.3228505,21.87,0.26,5.2761,0.149,0.233,1.975,149.1341,-100.4776,102.918,39.4098,False
112405,β Oct,bayer,F-type Star,2,Hipparcos,341.513013,-81.3816093,21.85,0.43,4.1964,0.208,0.308,0.894,149.2707,21.2143,-7.0928,-147.5851,False
94068,,,F-type Star,,Hipparcos,287.2495843,6.0728664,21.84,0.48,5.3163,0.346,0.498,2.013,149.339,44.0357,-141.8217,15.799,False
20995,,,F-type Star,,Hipparcos,67.5363193,15.6377297,21.82,0.79,5.646,0.324,0.472,2.34,149.4759,55.0003,133.021,40.2918,False
99742,,,A-type Star,,Hipparcos,303.5694987,15.1978674,21.75,0.26,4.9747,0.072,0.139,1.662,149.957,80.0184,-120.5766,39.3117,False
