hip,ra,dec,plx,e_plx,pm_ra,pm_de,hp_mag,b_v,gaia_source_id,gaia_match_sep_arcsec,gaia_in_v2,distance_ly,gaia_match_note
5280,16.8829116,-41.74654688,31.1,0.54,195.85,-63.45,7.1314,0.567,4987736999629756800,0.0,True,104.8733118971061,position+magnitude match
58401,179.61923341,-41.92136207,31.1,1.05,-769.96,-266.17,9.0484,0.78,5380306876026603648,0.0,True,104.8733118971061,position+magnitude match
81139,248.55302942,75.9817889,31.1,0.97,105.38,142.39,10.0173,1.12,1703379704562897408,0.004,True,104.8733118971061,position+magnitude match
96556,294.44690146,-4.6475095,31.1,0.34,105.78,-53.73,5.5444,0.429,4209968351329169280,0.0,True,104.8733118971061,position+magnitude match
54582,167.55618863,-7.38898447,31.09,0.46,-241.0,-170.9,6.9333,0.613,3784271568265259904,0.03,True,104.90704406561596,position+magnitude match
23532,75.88822022,63.08517455,31.09,0.78,100.35,315.06,7.7402,0.71,478240661338191360,0.003,True,104.90704406561596,position+magnitude match
57021,175.35880966,-41.01795976,31.08,0.55,166.58,-123.25,6.9849,0.59,5381188856152471168,0.0,True,104.94079794079796,position+magnitude match
63512,195.20848335,-35.37166032,31.08,2.23,-117.35,6.92,11.3883,0.0,6155176150828569088,0.0,True,104.94079794079796,position+magnitude match
71469,219.25123277,-12.30623567,31.08,0.83,-868.62,364.52,6.2977,0.464,,2483.626,False,104.94079794079796,no Gaia match
11949,38.54307742,42.78572711,31.07,0.81,405.48,-194.52,7.7258,0.677,340305381444650880,0.0,True,104.9745735436112,position+magnitude match
2237,7.08820623,-20.33477697,31.06,0.68,-118.98,-112.03,6.5582,0.594,,15.102,False,105.00837089504186,no Gaia match
49350,151.11127712,-7.21787588,31.06,0.76,135.91,-209.68,7.6259,0.689,3773112865272176512,0.166,True,105.00837089504186,position+magnitude match
14086,45.40604295,-28.09048229,31.06,0.36,282.18,-441.16,6.021,0.794,5071514326764428544,0.241,True,105.00837089504186,position+magnitude match
47261,144.4932511,22.52341528,31.05,1.76,-75.65,-127.2,10.0127,1.21,641136225272958336,0.059,True,105.04219001610304,position+magnitude match
98495,300.14747184,-72.91018427,31.04,0.17,81.78,-132.16,3.9531,-0.032,6368016725517046144,0.012,True,105.07603092783503,position+magnitude match
99634,303.31695679,-82.02809528,31.04,0.57,87.03,-19.04,8.606,0.896,6349039120460335104,0.009,True,105.07603092783503,position+magnitude match
43745,133.64979481,63.75869616,31.03,2.25,-171.71,-177.73,11.1908,1.423,1043963686162494080,0.004,True,105.1098936513052,position+magnitude match
57099,175.57709968,23.02675137,31.02,2.77,-203.54,42.21,11.6741,1.492,3980045523465047168,0.0,True,105.143778207608,position+magnitude match
36102,111.55646393,-33.94190663,31.01,2.76,-231.72,301.86,12.1335,1.471,5591625039433113600,0.0,True,105.1776846178652,position+magnitude match
103581,314.81022815,-10.71368452,31.01,1.01,35.12,-20.84,8.6534,0.955,6890278254718505088,0.552,True,105.1776846178652,position+magnitude match
40497,124.0277408,57.09467892,31.01,0.74,-316.4,-221.99,7.6327,0.75,1035000055055287680,0.012,True,105.1776846178652,position+magnitude match
51931,159.12870993,-13.84334009,31.01,0.98,-163.87,23.87,8.8524,0.92,3750851328223270400,0.0,True,105.1776846178652,position+magnitude match
81465,249.58183431,-5.02058365,31.0,2.26,-17.37,-99.43,10.4968,1.19,4354023203698181888,0.0,True,105.2116129032258,position+magnitude match
104565,317.72881428,29.42378902,31.0,2.62,-226.61,-294.84,11.1221,1.372,,302.08,False,105.2116129032258,no Gaia match
96861,295.32535302,-56.32174781,31.0,1.01,-162.53,-53.85,9.174,1.04,6640676436470581888,0.0,True,105.2116129032258,position+magnitude match
85158,261.03643224,-34.79800355,30.99,0.63,-0.39,-182.73,7.046,0.588,5975810379449715968,0.16,True,105.24556308486608,position+magnitude match
86263,264.3967721,-15.39840819,30.98,0.19,-42.1,-59.94,3.6075,0.262,4125171197089493760,0.014,True,105.27953518398964,position+magnitude match
82267,252.14815758,37.01425361,30.98,0.66,-59.74,-364.3,8.5387,0.821,1351435653238542976,0.0,True,105.27953518398964,position+magnitude match
42914,131.17627218,-48.67124556,30.98,0.72,-83.24,-120.03,8.3244,0.763,5329033968778084608,0.0,True,105.27953518398964,position+magnitude match
58949,181.3034519,-1.50917778,30.97,0.85,-513.69,57.88,8.3009,0.754,3601738894159011328,0.003,True,105.31352922182758,position+magnitude match
65500,201.36868792,37.7192859,30.97,2.22,-200.62,63.8,11.2191,1.392,1476094879982450304,0.016,True,105.31352922182758,position+magnitude match
77740,238.07286502,-18.4361234,30.96,0.64,96.83,22.97,7.3824,0.628,6248534171318085376,0.008,True,105.34754521963822,position+magnitude match
35139,108.96292185,-13.04991173,30.95,0.75,-510.41,177.18,7.8716,0.607,3033005406506033664,0.0,True,105.38158319870756,position+magnitude match
23530,75.8776993,63.07741788,30.95,0.97,105.67,310.89,8.053,0.66,478240661338195328,0.0,True,105.38158319870756,position+magnitude match
15720,50.61664614,27.15620961,30.95,2.74,220.89,-64.0,11.119,1.431,117654650480415744,0.003,True,105.38158319870756,position+magnitude match
113221,343.93184475,-30.37791199,30.95,2.75,353.88,187.96,11.8066,1.408,6605949663080115072,0.305,True,105.38158319870756,position+magnitude match
48024,146.84390994,26.30434424,30.95,2.53,-212.42,-351.6,10.9544,1.38,646534556782461056,0.0,True,105.38158319870756,position+magnitude match
88371,270.67958116,-62.97869769,30.95,1.87,122.31,-281.05,10.5196,1.28,6633830052446959488,0.0,True,105.38158319870756,position+magnitude match
99332,302.42136037,-3.12890785,30.94,1.44,-193.63,-41.91,9.6968,1.184,4223280413481383168,0.0,True,105.41564318034904,position+magnitude match
22152,71.50161003,76.6113732,30.94,0.38,75.61,-135.61,6.5731,0.512,551998718826619648,0.0,True,105.41564318034904,position+magnitude match
47175,144.20690397,-49.35512893,30.94,0.16,-130.55,42.98,4.3954,0.173,5409223585178017152,0.024,True,105.41564318034904,position+magnitude match
74148,227.26880788,24.01564836,30.93,1.24,-469.07,144.42,9.4592,1.07,1263776848195725568,0.219,True,105.44972518590365,position+magnitude match
101948,309.88753903,42.24908831,30.93,0.38,-62.47,-220.96,6.9226,0.507,2066437688140905600,0.004,True,105.44972518590365,position+magnitude match
7500,24.16399565,21.56310773,30.92,1.12,261.69,2.42,9.3967,1.104,288861019085346816,0.0,True,105.48382923673996,position+magnitude match
