source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
357088803671835008,28.70713163320229,47.910024667244734,16.820461394916787,1.6629788,10.114657,-2.9032896729604305,-10.879792886294322,,20.12389,20.759138,18.523888,2.2352505
357491435379944192,28.66225622279601,48.41212575700042,22.528907975229465,0.03544096,635.6743,19.87325326254063,-133.88276645303932,-22.285576,12.954557,14.569964,11.727035,2.8429298
378059617148321792,13.772711459950056,46.39514985998031,17.896255143725895,0.02806048,637.7744,153.97369807244084,-18.667567846009003,8.435062,14.021745,15.6486435,12.787735,2.8609085
378210151460610688,13.984754077310763,47.290970063215454,17.12242087273049,0.015746145,1087.404,70.66283628135659,-57.54186107045193,-10.09743,10.681001,11.345619,9.901183,1.4444361
387265759287462016,0.37268044636567155,47.41465879011353,17.788606141182083,0.01533968,1159.6465,172.19954186127086,-0.15045918657437418,0.41309264,11.805884,12.732261,10.856164,1.8760967
387853826211382272,9.387559879922557,44.663979681266724,29.321908545568895,2.70682,10.832603,5.2619511350173696,11.537782428342016,,20.414007,20.64954,18.607285,2.0422554
389678298254702976,11.449345937345225,46.13988865396996,20.4508298236863,0.1069914,191.1446,180.29503577957414,-3.130275974693573,,17.131323,19.648932,15.718973,3.9299583
389832298599609216,11.112626154974059,47.03062538500859,17.889884853181854,0.39362726,45.4488,-7.793583966387493,26.75237135535932,,19.78326,21.626955,18.248075,3.3788795
393711169469275904,2.6827279532830346,49.95526698875038,16.685539201742586,0.015021368,1110.7869,44.91268785574267,-48.829975515531906,-21.36977,8.911556,9.323385,8.33574,0.98764515
397123160203544960,22.64402934235137,45.21039181560176,16.506278140161264,0.25696763,64.234856,186.21320802660773,-80.57174290702348,,18.687233,21.441307,17.192575,4.2487316
399891593045755776,21.926598635849853,48.13979297923958,20.711340119066456,0.046916988,441.44653,-86.8695491119025,-28.807222291577162,-5.0664577,8.591237,8.920378,8.083472,0.8369055
403246301805769344,19.24888647480016,49.56434286124943,22.733206822408945,0.06709802,338.8059,17.45410858320244,-77.27225819832327,,16.575647,18.844183,15.156689,3.6874943
403460985747452160,17.43710111764555,49.841153994739024,22.495562679245786,0.024696788,910.87,42.16102709062745,-50.603425903152655,-13.538953,11.654531,12.573285,10.704174,1.8691111
405028575795255808,16.61152018608267,53.20158266776097,17.805065539230213,0.015850669,1123.3007,-35.91890504015058,-34.04564841946317,2.804013,10.513768,11.106151,9.782024,1.3241262
410312901693849856,19.6089323456935,53.69149704553735,16.318819566414476,0.043234706,377.44724,152.50911627516965,-12.468764955609384,,15.317613,17.161577,14.034354,3.127223
411381695718394880,16.514048556409364,54.58022065928223,24.29468409634085,0.02004447,1212.0392,-19.160185314735692,-17.687207594074142,-2.744545,11.140259,12.062703,10.191992,1.8707113
411787037556642304,18.061882437738,56.284572261757184,16.471095457396657,0.025108108,656.007,15.847405467852841,-18.575263653779267,,14.505001,16.166851,13.260809,2.906042
412764297233453056,22.974511606816527,57.14547912056058,18.675191619464634,0.013774402,1355.7897,57.41415136571542,-36.33384306841836,2.0638323,13.341958,14.754463,12.17154,2.582923
414153289653474048,17.509225483349624,59.16641991965837,26.851863649631618,2.4623096,10.905153,-5.523363164686915,-3.084487685240356,,20.971775,20.716347,19.56955,1.1467972
415169478914672768,12.632756048101513,51.81512799139915,18.577272849849475,0.021031896,883.29047,95.2097551268526,-180.03218452499064,-58.819695,14.286882,15.7542925,13.106272,2.6480207
417090733745537920,11.499035829735607,53.62985810700263,17.317349770835857,1.4775941,11.719964,18.946875249372034,-1.9651273482629454,,19.80192,20.893137,18.280561,2.6125755
420243793798837120,1.7035021144080862,53.68814949669712,16.38665319175777,0.018593404,881.31537,40.20307776645404,-67.11733482856833,-26.997377,11.234257,11.991761,10.388992,1.6027689
423852008701792000,12.374223722270688,56.637557947570905,27.736308667668624,0.01477341,1877.448,65.85960383587908,19.50194849876918,17.859598,12.468119,13.700842,11.364725,2.3361168
426938101630601984,12.101658098593791,60.40773489573031,19.78617472225443,0.065647036,301.4024,-129.20049991885764,-166.56794655739736,-80.39643,13.09527,14.668354,11.877233,2.7911215
430724235559561856,8.640013003552449,62.90298687199635,17.5671972857603,0.017622735,996.84845,-26.217777214239746,-58.60309291844354,-9.82004,7.633157,7.8718095,7.2294827,0.64232683
